tractcode,State,avg_tract_sales_volume_assets,POPULATION_2020,POP20_SQMI,SQMI,2022_Median_Household_Income,lat,long,total_population,unemployed,percent_unemployed,med_income,med_age,avg_dist_traveled_per_person_from_tract_to_business_in_miles,count_gas_stations,avg_gas_station_visits_on_weekday,avg_gas_station_visits_on_weekend,land_m
04003000902,AZ,3625.0,2684,2886.0,0.93,30979,31.3459943,-109.5493894,"56,241","6,237",11.09,"28,400",37.0,19.43,14,67.0,63.0,2394101.0
04003001601,AZ,2559.0,5280,4093.0,1.29,59144,31.5663813,-110.2874416,"149,013","2,997",2.01,"52,056",32.0,11.5,7,297.0,240.0,3339261.0
04013050604,AZ,77574.0,3871,32.5,119.28,64999,33.3460558,-112.7519205,"29,608","1,240",4.19,"58,666",39.0,24.94,15,1422.0,1349.0,3.09699775E8
04003000202,AZ,2944.0,3382,62.9,53.74,40586,32.2581451,-109.8413907,"235,904","8,000",3.39,"33,985",34.0,25.59,20,109.0,107.0,1.33690718E8
04013071515,AZ,2749.0,3704,3631.4,1.02,79964,33.6184517,-112.2500518,"95,445","3,429",3.59,"67,273",47.0,6.13,1,1035.0,985.0,2636103.0
04009940500,AZ,1380.0,4720,2.8,1696.41,36328,33.2861049,-109.9331961,"129,735","12,501",9.64,"35,854",25.0,66.78,1,38.0,31.0,4.365141353E9
04013040502,AZ,2820.0,4820,611.7,7.88,59019,33.9832505,-112.7507406,"339,456","2,944",0.87,"51,891",56.0,19.4,14,119.0,126.0,2.0525634E7
04003000301,AZ,3993.0,4029,563.5,7.15,31339,31.9596026,-110.3234381,"234,752","6,080",2.59,"27,885",52.0,20.97,21,251.0,251.0,1.8671776E7
04013071801,AZ,3561.0,5090,2423.8,2.1,40720,33.5904762,-112.2770032,"1,124,280","44,712",3.98,"37,931",73.0,6.69,1,195.0,167.0,4852622.0
04003001100,AZ,2261.0,3103,54.1,57.39,40715,31.361701,-109.8198842,"88,020",918,1.04,"33,561",54.0,29.51,7,43.0,42.0,1.48930227E8
04013071511,AZ,3792.0,3890,4274.7,0.91,69599,33.6281003,-112.2116579,"27,744",992,3.58,"55,737",44.0,6.26,1,213.0,265.0,2349957.0
04011960200,AZ,6901.0,4084,32.3,126.29,70987,33.0466315,-109.3239024,"110,997","1,566",1.41,"76,693",29.0,14.59,18,352.0,224.0,3.19216578E8
04009961201,AZ,1375.0,3918,452.4,8.66,52561,32.8407201,-109.7485961,"97,767","3,915",4.0,"53,388",27.0,11.24,9,149.0,118.0,2.1285059E7
04013030402,AZ,1375.0,3913,173.8,22.51,103952,33.8166693,-111.9609636,"122,607","3,591",2.93,"83,949",61.0,11.83,4,102.0,99.0,5.8176082E7
