tractcode,State,avg_tract_sales_volume_assets,POPULATION_2020,POP20_SQMI,SQMI,2022_Median_Household_Income,lat,long,total_population,unemployed,percent_unemployed,med_income,med_age,avg_dist_traveled_per_person_from_tract_to_business_in_miles
04013814500,AZ,3101.0,5232,5232.0,1.0,113719,33.3248448,-111.7683822,"323,840","13,056",4.03,"102,345",36.0,6.81
04013814600,AZ,4827.0,5755,2892.0,1.99,86886,33.328505,-111.7470178,"137,376","2,862",2.08,"67,793",31.0,6.25
04013814700,AZ,2749.0,4576,4669.4,0.98,109831,33.3321569,-111.7297955,"32,272",456,1.41,"100,432",37.0,7.01
04013814900,AZ,4310.0,3143,2152.7,1.46,110650,33.3137347,-111.7813827,"23,832",624,2.62,"100,683",34.0,6.68
04013815100,AZ,688.0,5506,5243.8,1.05,111287,33.3176393,-111.7271289,"44,328",872,1.97,"100,800",31.0,7.11
04013815300,AZ,2635.0,4031,2687.3,1.5,162972,33.3028918,-111.7813344,"30,176",432,1.43,"167,556",40.0,6.5
04013815800,AZ,1833.0,6465,5931.2,1.09,108764,33.2851685,-111.6952782,"51,888",472,0.91,"89,013",29.0,7.19
04013816700,AZ,0.0,2634,2438.9,1.08,132473,33.2572261,-111.6776263,"2,174",43,1.98,"128,106",28.0,8.45
04013817000,AZ,2291.0,3955,1318.3,3.0,134076,33.2414034,-111.6431174,"28,408",608,2.14,"108,835",40.0,9.65
04013817200,AZ,1375.0,7797,753.3,10.35,126603,33.2160335,-111.6083964,"457,024","9,856",2.16,"118,531",41.0,10.42
04013817300,AZ,1375.0,5561,2794.5,1.99,75989,33.2266333,-111.8646789,"148,095",810,0.55,"63,761",74.0,6.48
04013817600,AZ,1833.0,6885,397.1,17.34,107247,33.311807,-111.6313607,"2,527",39,1.54,"96,199",41.0,11.18
04013941000,AZ,13791.0,3540,30.8,114.9,45210,33.2618494,-112.051481,"25,528","1,296",5.08,"36,641",29.0,13.61
04013941100,AZ,13099.0,43,1.2,35.11,0,33.2338075,-111.9576919,25,0,0.0,null,44.0,13.33
04013941300,AZ,9235.0,6334,74.5,85.01,46111,33.4969438,-111.8437221,"494,528","50,304",10.17,"38,776",39.0,7.23
04013980400,AZ,1146.0,14,9.3,1.51,0,33.2980736,-111.9587909,13,2,15.38,null,22.0,9.47
04013980500,AZ,1833.0,0,0.0,1.38,0,33.2439248,-111.8863309,0,0,null,null,null,11.08
04015940400,AZ,16754.0,1250,1.8,683.45,47205,35.7257711,-113.6308782,"1,480",71,4.8,"36,063",31.0,null
04015940501,AZ,2925.0,2736,96.8,28.27,50763,34.9177052,-114.6136327,"65,529","1,377",2.1,"35,634",64.0,null
04015950401,AZ,2253.0,1781,7.6,235.54,30765,35.5651109,-114.1928314,"17,776",40,0.23,"27,954",58.0,null
04015950703,AZ,6058.0,4055,3754.6,1.08,37242,35.259231,-114.0324079,"32,064","1,592",4.97,"35,447",47.0,null
04015950705,AZ,9873.0,4117,1247.6,3.3,44990,35.2574697,-113.9769172,"121,095","3,105",2.56,"35,464",46.0,null
04015951401,AZ,8776.0,4132,707.5,5.84,57603,35.1738915,-114.5299083,"33,736","1,144",3.39,"50,697",59.0,null
04015951501,AZ,2903.0,4157,1791.8,2.32,44866,35.1046131,-114.5868628,"256,128","7,680",3.0,"43,886",54.0,null
04015951601,AZ,3771.0,3768,3730.7,1.01,37833,35.1184985,-114.6080049,"92,394","2,943",3.19,"37,531",55.0,null
04015951800,AZ,3037.0,3431,2350.0,1.46,36722,35.0902919,-114.6191822,"230,592","11,520",5.0,"37,844",44.0,null
04015951900,AZ,8346.0,4204,1133.2,3.71,57404,35.0538859,-114.6003552,"107,055","1,917",1.79,"50,971",55.0,null
04015952003,AZ,2126.0,4617,309.9,14.9,50547,35.0438601,-114.533163,"40,784","1,456",3.57,"43,346",52.0,null
04015952004,AZ,1806.0,4172,1181.9,3.53,52632,35.0150222,-114.5844219,"3,737",192,5.14,"44,131",46.0,null
04015952400,AZ,2278.0,3176,27.1,117.2,50421,34.5707494,-114.2906964,"22,072",912,4.13,"46,842",62.0,97.84
04015952600,AZ,4653.0,3427,599.1,5.72,53236,34.504823,-114.3419414,"84,105","3,699",4.4,"41,394",50.0,97.87
04015953100,AZ,2733.0,3315,3013.6,1.1,55854,34.4699385,-114.3266231,"103,599","3,591",3.47,"49,132",48.0,97.45
04015953200,AZ,8776.0,2998,378.1,7.93,65291,34.4614817,-114.3179356,"79,650","1,566",1.97,"71,398",64.0,96.63
04015953602,AZ,7898.0,2718,297.4,9.14,41593,35.203787,-114.0682503,"90,504","1,809",2.0,"35,206",40.0,null
04015953800,AZ,3236.0,6659,2430.3,2.74,51482,35.2049707,-114.0444588,"164,214","8,316",5.06,"43,110",42.0,null
04017940010,AZ,4538.0,2642,19.1,138.12,29826,36.026126,-110.2046994,"77,679","6,777",8.72,"25,109",29.0,null
04017940012,AZ,1340.0,2643,3.3,796.82,44108,36.0383191,-110.6137878,"3,190",158,4.95,"39,032",35.0,null
04017940013,AZ,5163.0,3790,4.1,914.04,34181,35.7923866,-110.1757512,"140,130","4,698",3.35,"26,658",36.0,null
