tractcode,State,avg_tract_sales_volume_assets,POPULATION_2020,POP20_SQMI,SQMI,2022_Median_Household_Income,lat,long,total_population,unemployed,percent_unemployed,med_income,med_age,avg_dist_traveled_per_person_from_tract_to_business_in_miles
04013422002,AZ,1833.0,3970,7940.0,0.5,38702,33.3987702,-111.8371188,"116,910","3,942",3.37,"36,206",29.0,5.02
04013422102,AZ,841.0,4408,8995.9,0.49,41342,33.4055735,-111.8612197,"130,275","4,266",3.27,"32,911",30.0,5.97
04013422103,AZ,2062.0,5294,18907.1,0.28,39895,33.395747,-111.8723281,"143,316","6,696",4.67,"39,089",26.0,5.5
04013422104,AZ,2749.0,6024,10210.2,0.59,44435,33.4032586,-111.8780044,"813,500","25,750",3.17,"36,821",34.0,6.38
04013422105,AZ,3905.0,3165,6459.2,0.49,46337,33.3968923,-111.8443248,"27,072",984,3.63,"48,291",32.0,5.63
04013422106,AZ,3101.0,5947,12136.7,0.49,42896,33.4041042,-111.8463629,"167,400","5,265",3.15,"32,240",27.0,6.26
04013422203,AZ,2411.0,5759,5646.1,1.02,47749,33.3809659,-111.8539109,"148,311","7,479",5.04,"48,370",31.0,7.24
04013422209,AZ,1833.0,7386,7312.9,1.01,74188,33.3462605,-111.8547973,"832,500","19,000",2.28,"63,978",41.0,6.37
04013422211,AZ,917.0,2672,2726.5,0.98,97655,33.3459306,-111.8849021,"21,064",496,2.35,"81,734",44.0,6.28
04013422213,AZ,1719.0,2527,5054.0,0.5,87429,33.3598321,-111.8874651,"22,120",552,2.5,"88,171",34.0,5.98
04013422216,AZ,10344.0,6000,5940.6,1.01,95590,33.3734422,-111.8465025,"416,768","9,472",2.27,"93,384",36.0,6.55
04013422219,AZ,1833.0,3059,5998.0,0.51,67396,33.3540414,-111.8694142,"23,376",408,1.75,"54,711",34.0,5.98
04013422221,AZ,1146.0,4292,5879.5,0.73,67599,33.3664291,-111.872218,"109,377","3,186",2.91,"63,568",38.0,5.82
04013422222,AZ,11493.0,2185,5750.0,0.38,100475,33.3675056,-111.8630341,"18,920",560,2.96,"92,756",32.0,5.9
04013422301,AZ,3246.0,6454,3259.6,1.98,55234,33.3841277,-111.8314286,"153,009","3,510",2.29,"55,585",30.0,6.06
04013422302,AZ,2177.0,5041,4991.1,1.01,58397,33.3898122,-111.7926018,"352,768","3,840",1.09,"63,681",33.0,5.7
04013422305,AZ,6318.0,5935,6182.3,0.96,105201,33.3457133,-111.8155379,"337,600","7,360",2.18,"101,414",44.0,6.71
04013422307,AZ,1986.0,4400,1466.7,3.0,65491,33.3717208,-111.837287,"260,480","6,464",2.48,"84,975",34.0,6.51
04013422308,AZ,3905.0,5513,5404.9,1.02,101267,33.3680168,-111.8028312,"149,958","5,724",3.82,"92,415",34.0,5.98
04013422309,AZ,3790.0,5662,5662.0,1.0,103752,33.3609775,-111.8188662,"130,005",864,0.66,"94,669",34.0,6.09
04013422402,AZ,1604.0,4735,4932.3,0.96,81456,33.353642,-111.7856871,"141,480","2,781",1.97,"70,991",37.0,7.13
04013422403,AZ,1261.0,5245,5245.0,1.0,100422,33.3463483,-111.7947302,"131,301","4,347",3.31,"76,220",40.0,6.4
04013422404,AZ,4365.0,4737,4883.5,0.97,113826,33.3412915,-111.778339,"35,224",696,1.98,"95,794",37.0,6.17
04013422501,AZ,4597.0,6078,6017.8,1.01,75709,33.3972689,-111.7582321,"403,520","11,200",2.78,"67,766",35.0,5.98
04013422502,AZ,688.0,5925,5984.8,0.99,69453,33.3983523,-111.7843394,"416,192","8,000",1.92,"78,650",38.0,5.71
04013422503,AZ,1833.0,6792,6860.6,0.99,71157,33.3828575,-111.7846599,"444,544","10,752",2.42,"58,294",34.0,6.24
04013422506,AZ,1833.0,5094,5198.0,0.98,97220,33.3663612,-111.7640665,"606,750","6,500",1.07,"92,865",40.0,7.06
04013422507,AZ,0.0,4406,4687.2,0.94,110306,33.3674968,-111.7426705,"120,771","2,322",1.92,"110,284",40.0,6.64
04013422508,AZ,3906.0,3680,3793.8,0.97,90450,33.3681278,-111.7817215,"24,016","1,264",5.26,"70,636",40.0,6.66
04013422510,AZ,1146.0,3474,3474.0,1.0,118101,33.3615873,-111.7525748,"83,322","2,322",2.79,"113,956",41.0,6.39
04013422512,AZ,1719.0,4984,4984.0,1.0,98412,33.3447131,-111.7484498,"39,128",920,2.35,"91,842",36.0,6.7
04013422513,AZ,0.0,4441,4441.0,1.0,71385,33.4042603,-111.7488857,"119,016",783,0.66,"66,451",47.0,5.85
04013422514,AZ,4019.0,4933,5192.6,0.95,86348,33.3865501,-111.7507123,"46,360","1,312",2.83,"70,893",30.0,6.86
04013422607,AZ,2062.0,4499,4499.0,1.0,42275,33.4049649,-111.7313436,"113,346",405,0.36,"36,585",72.0,8.08
04013422609,AZ,6322.0,4276,4276.0,1.0,65904,33.4043763,-111.680595,"36,448",832,2.28,"52,682",53.0,7.35
04013422615,AZ,2749.0,6986,3493.0,2.0,91973,33.399556,-111.6026841,"191,646","3,888",2.03,"73,620",33.0,9.14
04013422617,AZ,5052.0,6141,6020.6,1.02,101989,33.3723605,-111.6753458,"374,144","9,216",2.46,"94,835",39.0,7.33
04013422620,AZ,5747.0,3261,3293.9,0.99,116929,33.3712926,-111.725973,"26,096",280,1.07,"107,023",32.0,6.34
04013422622,AZ,1833.0,4229,4315.3,0.98,101440,33.3731745,-111.6980664,"110,457","2,376",2.15,"110,462",33.0,7.64
04013422624,AZ,1833.0,2404,4292.9,0.56,49924,33.4119129,-111.7320799,"20,712",224,1.08,"43,804",75.0,5.93
04013422625,AZ,459.0,4405,4788.0,0.92,46758,33.4121462,-111.6897396,"122,607","2,889",2.36,"43,224",53.0,6.91
04013422630,AZ,2062.0,4783,6054.4,0.79,45379,33.4060208,-111.6240442,"39,992","1,760",4.4,"37,588",49.0,8.53
04013422632,AZ,3071.0,4098,4098.0,1.0,60663,33.4005752,-111.6458341,"31,936",936,2.93,"57,778",53.0,7.8
04013422633,AZ,1146.0,3075,3044.6,1.01,53697,33.3861685,-111.6765606,"2,966",71,2.39,"44,867",29.0,7.71
04013422636,AZ,11118.0,3267,3111.4,1.05,69877,33.3827267,-111.7289123,"21,288",784,3.68,"75,208",33.0,6.67
04013422637,AZ,6896.0,3597,6661.1,0.54,87144,33.397144,-111.7140273,"27,896","1,040",3.73,"69,956",35.0,6.71
04013422642,AZ,1833.0,5886,5945.5,0.99,100294,33.3681128,-111.6208125,"149,391","1,431",0.96,"81,536",39.0,8.93
04013522901,AZ,3665.0,5029,4979.2,1.01,73426,33.3243144,-111.8328956,"35,096",312,0.89,"59,849",32.0,6.2
04013522903,AZ,3103.0,5123,10246.0,0.5,44970,33.3098367,-111.8349274,"128,655","4,563",3.55,"36,441",31.0,5.65
04013107900,AZ,459.0,3682,1223.3,3.01,123633,33.5181597,-111.9847628,"100,683","1,836",1.82,"116,625",45.0,5.73
04013108100,AZ,2291.0,2329,4086.0,0.57,123614,33.5033702,-111.9805171,"2,377",43,1.81,"102,583",36.0,4.95
04013108200,AZ,1833.0,3307,5421.3,0.61,100243,33.4986754,-111.9911398,"90,882","1,998",2.2,"67,122",41.0,5.33
04013108301,AZ,1375.0,3661,4067.8,0.9,113734,33.5062049,-111.9997405,"94,149","2,052",2.18,"109,433",42.0,5.05
04013108302,AZ,1833.0,3196,6266.7,0.51,71279,33.4988415,-111.9997847,"23,440",464,1.98,"61,875",39.0,5.61
04013108400,AZ,16953.0,6054,6054.0,1.0,82382,33.4986291,-112.0237349,"705,250","4,625",0.66,"65,633",45.0,5.93
04013108501,AZ,1986.0,2575,5150.0,0.5,80333,33.5021451,-112.0414366,"19,496",224,1.15,"63,595",32.0,5.92
04013108601,AZ,6663.0,2443,7634.4,0.32,36040,33.4992412,-112.0597908,"22,664",904,3.99,"29,869",34.0,4.96
04013108602,AZ,6896.0,6215,9007.2,0.69,57681,33.5064924,-112.0518986,"424,448","6,080",1.43,"47,023",32.0,5.87
04013108901,AZ,1604.0,2524,6310.0,0.4,54129,33.4974714,-112.0944532,"56,889",837,1.47,"49,254",40.0,4.97
04013108902,AZ,153.0,5098,8789.7,0.58,42098,33.503939,-112.0873751,"327,424","13,248",4.05,"38,874",34.0,6.12
04013109001,AZ,1963.0,4379,17516.0,0.25,33958,33.4986146,-112.1149418,"39,616","1,320",3.33,"29,231",22.0,5.76
04013109002,AZ,1146.0,4165,11569.4,0.36,38142,33.5077736,-112.1030883,"126,198","7,290",5.78,"38,889",30.0,5.2
04013109003,AZ,3790.0,5677,15343.2,0.37,36481,33.4968209,-112.11068,"394,560","16,192",4.1,"29,783",26.0,5.74
04013109102,AZ,3218.0,5645,11520.4,0.49,53667,33.4983791,-112.127942,"179,199","2,889",1.61,"48,023",29.0,5.34
04013109200,AZ,4334.0,4338,4338.0,1.0,32168,33.5056518,-112.1399484,"106,245","3,618",3.41,"24,357",32.0,5.87
04013109300,AZ,1833.0,4767,4815.2,0.99,59950,33.5047816,-112.1666715,"144,261","2,376",1.65,"57,755",28.0,5.39
04013109500,AZ,688.0,5432,5600.0,0.97,69502,33.5056989,-112.1991138,"177,147","4,644",2.62,"54,616",27.0,5.69
04013109601,AZ,917.0,5240,10916.7,0.48,54532,33.4958264,-112.2332811,"148,257","3,699",2.49,"47,109",26.0,5.78
04013109602,AZ,2451.0,6567,11521.1,0.57,40972,33.4973122,-112.2163916,"196,263","5,913",3.01,"42,906",29.0,5.65
04013109603,AZ,5744.0,4780,9372.5,0.51,52050,33.5070488,-112.2250808,"340,288","10,368",3.05,"48,087",26.0,6.32
04013109604,AZ,1604.0,4188,9971.4,0.42,48252,33.5048945,-112.2070239,"34,024","1,008",2.96,"43,064",25.0,5.75
04013109702,AZ,1008.0,5288,9792.6,0.54,47715,33.4835251,-112.2300557,"159,354","4,644",2.91,"47,338",25.0,5.69
04013109703,AZ,4581.0,2973,5946.0,0.5,46675,33.4907277,-112.2164005,"26,232","1,008",3.84,"43,825",30.0,5.82
04013109900,AZ,917.0,7653,7577.2,1.01,47880,33.4898702,-112.1730741,"584,192","14,016",2.4,"44,178",26.0,5.83
04013110001,AZ,3792.0,4620,8555.6,0.54,49878,33.484778,-112.1646469,"42,896","2,184",5.09,"46,548",26.0,5.55
04013110002,AZ,459.0,4467,9926.7,0.45,49338,33.4909367,-112.1581002,"32,512",856,2.63,"47,016",33.0,5.52
04013110100,AZ,2525.0,6730,6730.0,1.0,40647,33.4840935,-112.1472989,"455,808","10,752",2.36,"35,019",28.0,5.57
04013110400,AZ,917.0,5239,5457.3,0.96,63490,33.4914022,-112.0956208,"331,456","1,728",0.52,"54,875",44.0,5.92
04013110501,AZ,2978.0,4685,8518.2,0.55,53632,33.4839477,-112.0784378,"81,729","4,374",5.35,"50,154",41.0,6.07
04013110502,AZ,3445.0,3203,6280.4,0.51,65276,33.4838713,-112.0694237,"20,840",296,1.42,"58,400",36.0,6.3
04013110600,AZ,3214.0,5003,4953.5,1.01,67573,33.4845825,-112.059724,"272,064","13,504",4.96,"58,058",37.0,6.5
04013110701,AZ,3790.0,2447,6991.4,0.35,51760,33.4833045,-112.0433448,"21,392",648,3.03,"44,212",34.0,5.93
04013110702,AZ,4248.0,4052,6139.4,0.66,74590,33.4920757,-112.0372708,"34,440",832,2.42,"63,334",33.0,5.23
04013110801,AZ,2635.0,4699,9398.0,0.5,54249,33.4915282,-112.0151124,"148,554","9,153",6.16,"44,100",33.0,5.59
04013110901,AZ,4827.0,3281,6433.3,0.51,35702,33.4841678,-112.0085609,"25,192",640,2.54,"69,814",43.0,4.85
04013110902,AZ,688.0,4203,8241.2,0.51,53846,33.4888392,-111.9984497,"42,216","1,464",3.47,"41,856",29.0,5.53
04013111000,AZ,1604.0,4749,4702.0,1.01,100075,33.485324,-111.9848339,"577,375","4,625",0.8,"99,450",37.0,5.34
04013111100,AZ,459.0,4660,3758.1,1.24,106715,33.4853124,-111.9565784,"122,607","3,105",2.53,"89,151",38.0,5.58
04013111201,AZ,1318.0,5701,7704.1,0.74,50190,33.4754286,-111.9658904,"421,888","8,064",1.91,"45,746",34.0,5.47
04013111203,AZ,1375.0,1614,10087.5,0.16,41253,33.4534134,-111.9746086,"1,567",51,3.25,"38,000",28.0,6.67
04013111300,AZ,8383.0,5590,5534.7,1.01,62513,33.4711769,-111.9913073,"750,875","15,500",2.06,"58,019",37.0,5.33
04013111401,AZ,1222.0,4405,8637.3,0.51,55812,33.4694101,-112.0085554,"36,672","1,368",3.73,"44,248",30.0,4.75
04013111402,AZ,3061.0,3956,7756.9,0.51,50409,33.4693877,-111.9998822,"33,000",824,2.5,"37,676",31.0,5.47
04013111501,AZ,2583.0,2077,7692.6,0.27,46151,33.4685018,-112.0256724,"2,148",34,1.58,"36,775",30.0,4.81
04013111502,AZ,3561.0,6317,8536.5,0.74,46441,33.4767682,-112.0172272,"407,296","12,736",3.13,"38,676",32.0,4.95
04013111700,AZ,1032.0,5203,5151.5,1.01,76111,33.4766106,-112.0607245,"399,232","9,152",2.29,"68,511",38.0,5.42
04013111800,AZ,2986.0,4964,4819.4,1.03,109588,33.4766529,-112.078349,"293,376","6,784",2.31,"82,337",42.0,6.0
04013111900,AZ,1604.0,2370,2370.0,1.0,103421,33.4695315,-112.0974462,"66,987",864,1.29,"97,141",45.0,5.62
04013112100,AZ,3207.0,3729,3729.0,1.0,38353,33.4677558,-112.1214532,"101,196","1,242",1.23,"35,240",27.0,6.01
04013112201,AZ,917.0,4363,7791.1,0.56,47803,33.4765097,-112.1397872,"39,528",256,0.65,"40,411",27.0,6.01
04013112202,AZ,1833.0,4375,9943.2,0.44,39872,33.4715005,-112.1472969,"121,905","6,210",5.09,"44,345",41.0,6.29
04013112302,AZ,2062.0,7063,14126.0,0.5,34530,33.4786544,-112.1589214,"972,125","45,750",4.71,"38,397",31.0,5.78
04013112401,AZ,3676.0,5581,11162.0,0.5,47288,33.4768873,-112.1821063,"162,108","2,916",1.8,"39,104",28.0,5.78
04013112402,AZ,2291.0,5167,10334.0,0.5,64096,33.4714971,-112.1733869,"179,847","7,155",3.98,"62,737",25.0,6.11
04013112502,AZ,1146.0,5294,10804.1,0.49,54088,33.4715218,-112.1905751,"177,714","5,589",3.14,"49,162",27.0,5.28
04013112504,AZ,680.0,3909,7977.6,0.49,46558,33.4764821,-112.1952395,"35,744","1,416",3.96,"41,375",26.0,5.84
04013112507,AZ,1680.0,2554,5320.8,0.48,32974,33.4643373,-112.1820244,"24,552",840,3.42,"31,870",22.0,6.5
04013112508,AZ,69747.0,2862,3816.0,0.75,43092,33.4570499,-112.2121093,"2,211",74,3.35,"40,000",29.0,6.09
04013112510,AZ,2291.0,4681,1179.1,3.97,76211,33.439747,-112.218207,"39,960",688,1.72,"60,447",26.0,7.17
04013112512,AZ,3961.0,566,126.6,4.47,41806,33.4488095,-112.1727317,770,30,3.9,"49,444",24.0,7.7
04013112514,AZ,2177.0,5044,652.5,7.73,75276,33.4171853,-112.1607794,"41,800","2,240",5.36,"68,880",30.0,8.64
04013112601,AZ,1146.0,3084,11014.3,0.28,31824,33.4636498,-112.1419698,"30,432","1,304",4.28,"28,182",22.0,6.08
04013112602,AZ,3783.0,7359,10080.8,0.73,39601,33.4550103,-112.1495951,"551,488","7,424",1.35,"38,103",24.0,5.74
04013112700,AZ,574.0,6933,6797.1,1.02,36126,33.4639932,-112.1254306,"473,792","11,072",2.34,"35,876",27.0,5.67
04013112900,AZ,2177.0,4660,4660.0,1.0,41469,33.4562004,-112.0958543,"309,440","9,536",3.08,"40,307",35.0,6.3
04013113000,AZ,1375.0,3531,7206.1,0.49,63195,33.4622126,-112.0694852,"18,544",744,4.01,"52,143",36.0,6.29
04013113100,AZ,680.0,4996,9992.0,0.5,23436,33.45503,-112.071442,"34,216","1,128",3.3,"25,206",30.0,7.03
04013113202,AZ,1833.0,1706,6561.5,0.26,38483,33.4572546,-112.0608251,"16,760",480,2.86,"31,667",29.0,6.11
04013113900,AZ,1604.0,1527,1482.5,1.03,21410,33.4440704,-112.0389279,"1,457",103,7.07,"19,265",22.0,6.35
04013114200,AZ,1833.0,1075,2150.0,0.5,30261,33.4405135,-112.0737432,994,24,2.41,"30,114",41.0,6.23
04013114302,AZ,1604.0,2965,5930.0,0.5,21194,33.4404112,-112.0868985,"25,384",712,2.8,"21,125",23.0,6.3
04013114402,AZ,917.0,2095,4554.3,0.46,40060,33.4491062,-112.1040924,"16,680",504,3.02,"36,638",32.0,7.17
04013114500,AZ,1833.0,4071,4154.1,0.98,39873,33.4404701,-112.1260219,"109,188","2,700",2.47,"38,461",30.0,5.95
04013114600,AZ,2984.0,1988,1988.0,1.0,42185,33.4441453,-112.1431681,"1,611",34,2.11,"30,389",31.0,6.92
04013114800,AZ,917.0,3459,1655.0,2.09,37032,33.4335596,-112.088161,"27,944",816,2.92,"33,622",29.0,6.19
04013114900,AZ,2641.0,2771,2542.2,1.09,20927,33.4329935,-112.0780451,"20,496",632,3.08,"25,644",35.0,6.33
04013115200,AZ,2333.0,3227,1148.4,2.81,43784,33.4158506,-111.9982927,"83,970","2,997",3.57,"38,650",28.0,8.07
04013115300,AZ,3442.0,2821,1763.1,1.6,27238,33.4118346,-112.0386339,"25,448","1,568",6.16,"21,896",35.0,6.35
04013115400,AZ,1833.0,1995,1995.0,1.0,41056,33.4130148,-112.0778885,"16,448",384,2.33,"30,319",35.0,6.82
04013115600,AZ,1833.0,4481,4526.3,0.99,49445,33.3994726,-112.1078245,"3,864",62,1.6,"39,457",30.0,6.32
04013115700,AZ,459.0,6779,6779.0,1.0,56564,33.4031623,-112.0949317,"199,665","7,560",3.79,"53,633",29.0,6.54
04013115802,AZ,4442.0,3674,7348.0,0.5,37268,33.3958488,-112.0775936,"27,360",376,1.37,"33,588",32.0,6.34
04013115900,AZ,1146.0,5860,5919.2,0.99,56546,33.3960108,-112.0560808,"53,280","2,448",4.59,"46,974",30.0,6.82
04013116100,AZ,2177.0,4902,5271.0,0.93,43705,33.4051102,-112.0255053,"116,370","1,674",1.44,"42,927",27.0,6.71
04013116202,AZ,5747.0,5126,9153.6,0.56,67223,33.3882663,-111.9933618,"358,272","14,272",3.98,"63,914",34.0,5.54
04013116203,AZ,1604.0,6261,2039.4,3.07,76064,33.3856605,-112.0214399,"156,951","3,267",2.08,"68,199",31.0,7.48
04013116204,AZ,3106.0,3728,3765.7,0.99,60648,33.3963216,-111.9801128,"103,761","4,509",4.35,"52,090",36.0,6.38
04013116300,AZ,1375.0,6155,5918.3,1.04,71881,33.3816469,-112.0385041,"194,319","8,667",4.46,"65,825",36.0,6.6
04013116400,AZ,1375.0,5666,5609.9,1.01,42771,33.3813688,-112.055966,"162,000","7,749",4.78,"43,215",30.0,6.38
04013116500,AZ,688.0,4953,4953.0,1.0,52697,33.3850002,-112.0689661,"137,916","4,455",3.23,"34,120",30.0,6.62
04013116605,AZ,3448.0,7187,7187.0,1.0,80867,33.384841,-112.1640897,"58,160","2,280",3.92,"75,909",31.0,8.2
04013116606,AZ,2062.0,6682,6682.0,1.0,72455,33.3811364,-112.1467257,"187,569","3,321",1.77,"65,053",30.0,7.66
04013116610,AZ,0.0,6912,3473.4,1.99,97351,33.3665578,-112.1604708,"48,376",960,1.98,"93,302",28.0,8.73
04013116612,AZ,2520.0,7130,2376.7,3.0,97237,33.3631767,-112.1261841,"169,398","5,805",3.43,"95,745",37.0,7.9
04013116703,AZ,1146.0,5194,3876.1,1.34,95379,33.3664188,-112.0553444,"44,888",824,1.84,"79,175",33.0,7.63
04013116708,AZ,2570.0,5370,4130.8,1.3,70257,33.3404181,-111.9744548,"332,672","9,408",2.83,"57,654",51.0,6.0
04013116712,AZ,688.0,7907,5378.9,1.47,90190,33.2943493,-111.9887933,"213,597","6,048",2.83,"90,509",35.0,6.66
04013116713,AZ,2749.0,5996,5996.0,1.0,103826,33.3034055,-112.0112628,"802,500","20,500",2.55,"91,260",40.0,7.27
04013116718,AZ,1375.0,2795,7355.3,0.38,70237,33.322711,-111.983812,"3,057",57,1.86,"63,075",34.0,7.24
04013116719,AZ,2698.0,6689,5145.4,1.3,112383,33.3109175,-111.9921443,"456,768","9,472",2.07,"100,354",36.0,6.64
04013116728,AZ,5974.0,4792,1980.2,2.42,164951,33.3126488,-112.0477295,"125,739","1,107",0.88,"153,601",46.0,8.35
04013116800,AZ,3848.0,2559,1279.5,2.0,38051,33.4732449,-112.1084986,"22,352",736,3.29,"47,070",36.0,6.34
04013116900,AZ,2299.0,2493,2026.8,1.23,45042,33.4884301,-112.1233353,"2,661",109,4.1,"40,142",22.0,5.7
04013117000,AZ,1146.0,6234,8312.0,0.75,41662,33.4840184,-112.1092501,"190,080","9,855",5.18,"37,217",30.0,5.8
04013117100,AZ,917.0,2986,4816.1,0.62,74526,33.4996118,-112.0699713,"21,696",616,2.84,"66,964",37.0,5.69
04013117200,AZ,3103.0,949,334.2,2.84,44928,33.426388,-112.0434433,"10,472",336,3.21,"51,293",28.0,6.69
04013216806,AZ,4597.0,3106,3931.6,0.79,104815,33.5420671,-111.9004707,"27,744",376,1.36,"72,848",47.0,5.04
04013216807,AZ,1604.0,5140,3779.4,1.36,118458,33.5585694,-111.8947929,"138,915","2,835",2.04,"109,369",53.0,5.53
04013216816,AZ,2718.0,6861,1104.8,6.21,129621,33.5885008,-111.9021028,"179,712","4,887",2.72,"124,758",53.0,6.16
04013216820,AZ,459.0,4356,2211.2,1.97,95127,33.6220907,-111.7051417,"120,474","5,130",4.26,"84,242",61.0,9.69
04013216821,AZ,2291.0,5952,998.7,5.96,119950,33.586188,-111.7551386,"406,336","7,296",1.8,"114,974",59.0,9.06
04013216822,AZ,0.0,4448,494.8,8.99,150316,33.7430649,-111.9095798,"115,830","1,269",1.1,"124,735",62.0,9.7
04013216826,AZ,2177.0,4727,4727.0,1.0,69194,33.5863512,-111.877414,"292,224","3,968",1.36,"54,030",54.0,6.79
04013216829,AZ,1604.0,5320,148.4,35.84,153217,33.7354152,-111.8402253,"153,063","1,593",1.04,"128,027",63.0,10.34
04013216830,AZ,1680.0,3238,3174.5,1.02,73105,33.5858045,-111.9347674,"26,392",440,1.67,"53,146",40.0,7.26
04013216831,AZ,2221.0,2896,1582.5,1.83,151166,33.5935691,-111.9388636,"24,784",376,1.52,"124,931",52.0,5.84
04013216832,AZ,1604.0,2447,3219.7,0.76,111845,33.577834,-111.8615969,"18,264",544,2.98,"90,915",64.0,5.67
04013216836,AZ,688.0,3690,2291.9,1.61,144982,33.5858743,-111.850364,"34,688",560,1.61,"122,163",44.0,6.18
04013216837,AZ,3218.0,5344,5625.3,0.95,77600,33.585274,-111.8297091,"144,666","5,022",3.47,"67,680",42.0,6.87
04013216839,AZ,2291.0,4176,3212.3,1.3,141676,33.6003372,-111.8602635,"112,374",864,0.77,"129,093",49.0,5.98
04013216840,AZ,3207.0,4775,1227.5,3.89,149742,33.7059181,-111.899312,"134,109","1,134",0.85,"144,812",51.0,8.0
04013216841,AZ,9194.0,4355,2166.7,2.01,154024,33.6931742,-111.9176877,"31,968",96,0.3,"130,075",53.0,7.28
04013216842,AZ,1833.0,3461,2136.4,1.62,171303,33.675942,-111.9184504,"30,776",216,0.7,"149,826",44.0,6.23
04013216845,AZ,1604.0,3449,1291.8,2.67,85801,33.6468118,-111.9157657,"17,320",192,1.11,"65,019",47.0,6.78
04013216850,AZ,2291.0,4190,5739.7,0.73,86468,33.6265562,-111.8773351,"123,552","4,428",3.58,"77,571",39.0,5.8
16011950200,ID,2304.0,4005,8.4,476.7,69778,43.3063642,-112.196394,"103,815",405,0.39,"58,300",38.0,18.43
16011950300,ID,1985.0,5574,5.1,1098.99,59309,43.0191535,-112.756362,"735,500","12,375",1.68,"45,340",32.0,23.58
16011950400,ID,6243.0,7263,216.2,33.6,67512,43.212685,-112.2491289,"898,250","19,875",2.21,"48,989",33.0,11.87
16011950600,ID,2821.0,5681,168.7,33.68,66591,43.266185,-112.3215733,"337,856","4,672",1.38,"57,102",36.0,12.96
16011950700,ID,1979.0,5054,76.5,66.06,73602,43.1731717,-112.4850744,"137,700","2,079",1.51,"72,423",35.0,15.3
16017950100,ID,1329.0,2555,5.5,463.43,45611,48.0896489,-116.2533605,"17,472",472,2.7,"34,091",60.0,null
16017950300,ID,3642.0,3727,1450.2,2.57,50606,48.2639123,-116.5379611,"231,040","5,568",2.41,"43,552",38.0,null
16017950500,ID,3196.0,3439,53.1,64.8,47563,48.1851908,-116.9054048,"219,200","5,248",2.39,"38,473",46.0,null
16017950600,ID,1276.0,2284,4.1,557.74,50391,48.3324715,-116.8988934,"54,621",594,1.09,"44,784",59.0,null
16019970100,ID,4250.0,6780,4.6,1459.64,107225,43.4026656,-112.008811,"355,136","7,296",2.05,"82,001",43.0,13.49
16019970300,ID,905.0,6703,132.5,50.59,85206,43.6038095,-111.9510599,"447,232","5,248",1.17,"67,010",34.0,9.94
16019970401,ID,2455.0,2953,365.0,8.09,102699,43.540244,-112.0319555,"25,488",120,0.47,"76,667",34.0,6.6
16019970402,ID,1100.0,7323,528.7,13.85,86519,43.5167857,-111.9253458,"45,368",296,0.65,"75,300",33.0,7.0
16019970502,ID,2201.0,5416,2721.6,1.99,75551,43.4745581,-111.9544194,"154,494","2,700",1.75,"62,019",32.0,5.08
16019970503,ID,2427.0,6531,639.7,10.21,98259,43.4474945,-111.9666332,"5,894",58,0.98,"84,714",35.0,5.25
16019970601,ID,6474.0,2765,2323.5,1.19,58880,43.5005503,-111.9962219,"78,651","2,160",2.75,"50,599",34.0,4.55
16019970602,ID,2585.0,6234,6361.2,0.98,44737,43.4894887,-111.9967603,"167,562","4,023",2.4,"38,463",32.0,4.02
16019970603,ID,5826.0,2490,2540.8,0.98,89047,43.4750927,-111.9952904,"2,231",60,2.69,"68,750",45.0,3.36
16019970700,ID,2978.0,5518,1857.9,2.97,45544,43.4989271,-112.0131482,"357,696","9,152",2.56,"38,143",33.0,4.53
16019970800,ID,2266.0,3944,6684.7,0.59,54669,43.4904429,-112.0155834,"243,136","3,008",1.24,"48,975",30.0,4.68
16019970900,ID,1942.0,5049,3944.5,1.28,93809,43.476922,-112.0187416,"138,915","2,349",1.69,"71,090",34.0,3.89
16019971000,ID,2999.0,5050,2563.5,1.97,58416,43.471647,-112.0511325,"1,069,416","23,976",2.24,"53,562",32.0,4.27
16019971100,ID,1725.0,3700,5362.3,0.69,41154,43.4868446,-112.0380995,"407,125","9,500",2.33,"41,334",38.0,4.35
16019971200,ID,2233.0,4537,1807.6,2.51,39086,43.4946388,-112.0470854,"292,544","6,208",2.12,"33,495",31.0,4.51
16019971301,ID,7164.0,7160,1232.4,5.81,62141,43.5131666,-112.0910333,"795,250","13,625",1.71,"59,160",31.0,5.27
16019971302,ID,1779.0,5883,2723.6,2.16,83948,43.4930727,-112.0680862,"325,184","5,760",1.77,"63,991",38.0,5.31
16019971500,ID,454.0,1900,6.4,298.48,84157,43.5796627,-112.2575812,"13,496",224,1.66,"66,424",44.0,17.02
16021970100,ID,2236.0,6469,17.6,366.77,59684,48.7400245,-116.34042,"437,312","3,392",0.78,"49,208",45.0,null
16021970200,ID,1703.0,5587,6.1,911.28,42614,48.8517298,-116.6999408,"626,500","13,000",2.08,"40,240",46.0,null
16023970100,ID,1535.0,2574,1.1,2238.52,58584,43.9333334,-113.2548105,"69,687","1,296",1.86,"42,113",46.0,71.57
16027020300,ID,1017.0,4415,5966.2,0.74,51219,43.5791779,-116.5722693,"320,576","6,656",2.08,"39,159",31.0,null
16027020501,ID,1848.0,3774,3736.6,1.01,62562,43.5577067,-116.5416105,"28,168",384,1.36,"57,983",38.0,null
16027020700,ID,5147.0,4090,456.0,8.97,85879,43.5571584,-116.4838269,"31,208",640,2.05,"74,054",43.0,null
